g5DIp6liADx6POq4|Junior|MGMT:200|A|Art
g5DIp6liADx6POq4|Junior|MTLS:291|C|Art
g5DIp6liADx6POq4|Freshman|ESL:419|B+|Art
g5DIp6liADx6POq4|Sophomore|MUS:102|C|Art
g5DIp6liADx6POq4|Junior|FREN:200|B-|Art
g5DIp6liADx6POq4|Sophomore|ESL:410|B|Art
g5DIp6liADx6POq4|Junior|HHP:110|C+|Art
g5DIp6liADx6POq4|Sophomore|RELS:170|A-|Art
g5DIp6liADx6POq4|Freshman|THTR:221|A|Art
g5DIp6liADx6POq4|Freshman|RHET:103|B|Art
g5DIp6liADx6POq4|Freshman|CSI:102|A-|Art
g5DIp6liADx6POq4|Sophomore|ARTS:141|A-|Art
g5DIp6liADx6POq4|Freshman|ARTS:142|A|Art
g5DIp6liADx6POq4|Sophomore|CSI:160|S|Art
g5DIp6liADx6POq4|Freshman|MATH:100|D|Art
g5DIp6liADx6POq4|Freshman|EES:108|B+|Art
g5DIp6liADx6POq4|Junior|CINE:160|B+|Art
g5DIp6liADx6POq4|Freshman|COMM:117|B+|Art
g5DIp6liADx6POq4|Freshman|PHYS:120|C|Art
g5DIp6liADx6POq4|Sophomore|SPAN:100|C-|Art
g5DIp6liADx6POq4|Junior|DSGN:240|A|Art
g5DIp6liADx6POq4|Sophomore|MUS:172|A+|Art
g5DIp6liADx6POq4|Junior|ARTH:384|C|Art
g5DIp6liADx6POq4|Freshman|ARTH:107|A|Art
g5DIp6liADx6POq4|Senior|ARTH:232|C|Art
g5DIp6liADx6POq4|Senior|PNTG:241|D|Art
g5DIp6liADx6POq4|Sophomore|POLI:104|B|Art
g5DIp6liADx6POq4|Sophomore|STAT:103|A|Art
g5DIp6liADx6POq4|Senior|ENGL:120|A|Art
g5DIp6liADx6POq4|Junior|ENTR:134|B+|Art
g5DIp6liADx6POq4|Sophomore|EDTL:112|A+|Art
g5DIp6liADx6POq4|Junior|POLI:160|B+|Art
g5DIp6liADx6POq4|Senior|PHIL:186|B|Art
g5DIp6liADx6POq4|Freshman|RCE:419|A|Art
g5DIp6liADx6POq4|Sophomore|RHET:106|B+|Art
g5DIp6liADx6POq4|Freshman|ENGL:202|C+|Art
g5DIp6liADx6POq4|Sophomore|ESL:420|B|Art
g5DIp6liADx6POq4|Sophomore|ECON:110|C-|Art
g5DIp6liADx6POq4|Freshman|ANTH:110|B|Art
60ini6QVP2kAGzCq|Junior|THTR:230|A|English
w0J1x3eisYu7lWmW|Senior|WRIT:160|A|Medicine
dNozWqHXQdlZNI8Y|Freshman|THTR:241|B-|Art
dNozWqHXQdlZNI8Y|Sophomore|ESL:413|C|Art
dNozWqHXQdlZNI8Y|Freshman|JMC:140|C+|Art
dNozWqHXQdlZNI8Y|Freshman|DPA:100|B|Art
dNozWqHXQdlZNI8Y|Senior|CW:287|B|Art
dNozWqHXQdlZNI8Y|Freshman|CSI:160|S|Art
dNozWqHXQdlZNI8Y|Freshman|ECON:110|D|Art
dNozWqHXQdlZNI8Y|Sophomore|STAT:103|B-|Art
dNozWqHXQdlZNI8Y|Senior|EDTL:300|S|Art
dNozWqHXQdlZNI8Y|Freshman|PSY:100|C-|Art
dNozWqHXQdlZNI8Y|Junior|PSQF:107|A|Art
dNozWqHXQdlZNI8Y|Junior|RHET:106|C|Art
dNozWqHXQdlZNI8Y|Junior|ARTH:312|A-|Art
dNozWqHXQdlZNI8Y|Sophomore|RHET:103|B+|Art
dzkP4rzAMDwVANAs|Senior|NURS:373|B|Nursing
leQUbv2UB4CDyHSK|Junior|SOC:101|A-|Sociology
leQUbv2UB4CDyHSK|Senior|SOC:281|B-|Sociology
leQUbv2UB4CDyHSK|Sophomore|SOC:242|C-|Sociology
leQUbv2UB4CDyHSK|Sophomore|CS:102|B|Sociology
leQUbv2UB4CDyHSK|Sophomore|SOC:216|B-|Sociology
leQUbv2UB4CDyHSK|Junior|SOC:371|B-|Sociology
leQUbv2UB4CDyHSK|Freshman|SOC:100|A-|Sociology
leQUbv2UB4CDyHSK|Sophomore|SOC:217|A|Sociology
leQUbv2UB4CDyHSK|Junior|SOC:141|C|Sociology
leQUbv2UB4CDyHSK|Senior|THTR:101|A|Sociology
leQUbv2UB4CDyHSK|Junior|MUS:102|A|Sociology
leQUbv2UB4CDyHSK|Freshman|ENGL:120|B|Sociology
leQUbv2UB4CDyHSK|Junior|STAT:102|C|Sociology
leQUbv2UB4CDyHSK|Sophomore|RCE:208|S|Sociology
leQUbv2UB4CDyHSK|Sophomore|SOC:213|A|Sociology
leQUbv2UB4CDyHSK|Junior|HPAS:143|S|Sociology
leQUbv2UB4CDyHSK|Senior|BIOL:140|B|Sociology
leQUbv2UB4CDyHSK|Senior|GRAD:699|R|Sociology
leQUbv2UB4CDyHSK|Freshman|RHET:103|A|Sociology
leQUbv2UB4CDyHSK|Sophomore|LLS:104|S|Sociology
leQUbv2UB4CDyHSK|Senior|HPAS:121|S|Sociology
leQUbv2UB4CDyHSK|Senior|SOC:342|A|Sociology
leQUbv2UB4CDyHSK|Sophomore|STAT:101|C|Sociology
leQUbv2UB4CDyHSK|Senior|HIST:110|B+|Sociology
leQUbv2UB4CDyHSK|Junior|AMST:101|B+|Sociology
leQUbv2UB4CDyHSK|Senior|SOC:131|A|Sociology
leQUbv2UB4CDyHSK|Junior|HIST:101|A-|Sociology
leQUbv2UB4CDyHSK|Sophomore|CSD:101|D|Sociology
aZGBbwiI4t8fyHPz|Sophomore|SPAN:100|A-|Business
ntNzxarZJ2RxdXZz|Junior|ENGR:273|A|Chemistry
